Gene ID	CV-H3K9ac_1.sort.bam	CV-H3K9ac_2.sort.bam	CV-H3K9ac_3.sort.bam	CV-H3K9ac_4.sort.bam	CV-H3K9ac_5.sort.bam	CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Uchl3	1237	2126	13200	1634	1093	594	21901	25800	21549	34948
Uchl4	797	742	1685	200	250	348	2150	3051	3050	3544
Uchl5	1285	1492	13906	1630	2229	395	20800	24903	19801	31951
Uck1	1483	1435	14939	1835	1939	788	19300	22049	20000	26300
Uck2	1240	1840	13128	1879	1643	445	17450	18207	15798	20302
Uckl1	1785	2123	15761	1487	1680	646	24652	27652	26201	35394
Ucma	591	889	2624	249	199	248	2200	2050	2300	2650
Ucn	643	547	1775	548	586	446	1550	2750	1700	2200
Ucn2	646	794	2623	643	399	340	3300	3095	3150	4250
Ucn3	647	540	2468	694	196	200	2900	2150	2950	2500
Ucp1	844	644	2135	578	299	247	2250	1648	1250	1500
Ucp2	2964	3076	28142	3031	3517	696	39251	48350	37600	43850
Ucp3	789	839	2525	792	495	593	2750	2400	2400	2250
Uevld	1232	1180	8123	1242	1190	397	11551	12050	12550	17603
Ufc1	2315	2333	24697	1543	1541	294	37349	37100	34750	42901
Ufd1l	1685	1484	15817	2276	1790	393	24800	31001	25850	39295
Ufm1	1182	1768	16688	1346	1493	444	19100	24850	18298	25801
Ufsp1	1837	1689	13192	1790	1681	443	22856	20902	22152	28852
Ufsp2	1138	1234	7721	1092	1044	644	13250	14849	11350	16451
Ugcg	1845	3414	33364	4377	3018	992	45648	57698	45050	52251
Ugdh	1770	1440	8819	1169	893	593	18999	19096	17347	28095
Uggt1	1549	1782	13137	1095	1580	694	18252	22150	19499	21801
Uggt2	594	897	1933	396	400	99	1700	1600	1200	1100
Ugp2	1881	2392	20228	2538	2029	350	28297	29698	23997	31050
Ugt1a1	3255	3061	16007	3027	1732	1483	23520	25658	22678	24408
Ugt1a10	945	397	2130	349	246	449	2250	2650	1750	2150
Ugt1a2	740	739	2567	400	245	198	3100	3150	2250	4250
Ugt1a5	885	546	1979	300	347	297	1899	2350	1998	1750
Ugt1a6a	733	396	3148	839	249	248	3400	3350	4200	4601
Ugt1a6b	735	882	2829	643	345	296	3850	3900	3800	3800
Ugt1a7c	1135	1238	7331	645	939	533	14150	13850	15050	19650
Ugt1a9	695	298	2524	294	394	345	1650	2550	3600	2100
Ugt2a1	938	345	1434	247	50	199	1500	2300	1700	1800
Ugt2a2	644	248	1684	99	196	293	1350	2550	1600	800
Ugt2a3	694	743	4405	395	248	243	10348	13550	10149	13399
Ugt2b1	590	391	1092	397	198	149	750	2800	1600	1350
Ugt2b34	1435	1485	8806	1386	746	496	24300	23650	26500	29800
Ugt2b35	794	1084	4699	198	199	387	9800	10400	12600	15500
Ugt2b36	645	547	2472	248	400	250	3300	4150	3800	4250
Ugt2b37	841	345	1636	200	249	99	1400	2300	1700	1701
Ugt2b38	547	547	1336	96	100	294	2051	3053	2150	2752
Ugt2b5	794	541	1973	343	100	246	2501	4350	3350	4150
Ugt3a1	499	487	1583	200	183	443	1401	1750	950	550
Ugt3a2	535	845	1289	245	149	345	1250	1951	1000	1250
Ugt8a	347	296	1685	296	50	100	800	1096	1150	550
Uhmk1	1342	1340	11406	1694	1390	399	14900	17550	14050	24449
Uhrf1	1274	947	8532	946	1636	346	10950	12049	11749	12899
Uhrf1bp1	1238	1444	6373	641	740	599	10548	11149	8299	13650
Uhrf1bp1l	1681	1684	11778	1490	1135	599	17401	19500	15949	26302
Uhrf2	2323	1838	14668	1141	2038	647	19550	23403	18151	22700
Uimc1	1240	1637	8284	1631	1182	743	14548	15350	13250	18850
Ulbp1	543	692	2129	296	494	397	2750	2602	2703	2300
Ulk1	1686	1885	11949	2389	1591	791	20249	19900	18900	26350
Ulk2	1641	1741	11406	1539	1443	548	18048	19397	17901	21849
Ulk3	844	1782	7646	1139	1439	598	12499	10850	11100	16451
Ulk4	1093	543	5393	447	787	348	6850	7650	5900	11499
Umod	493	493	1636	149	198	392	1350	1850	1100	1400
Umodl1	692	498	1435	248	150	100	2350	2700	1099	1450
Umps	893	1243	7683	1188	1029	394	12650	12547	13849	16600
