Gene ID	CV-H3K9ac_F1.sort.bam	CV-H3K9ac_F2.sort.bam	CV-H3K9ac_F4.sort.bam	CV-H3K9ac_F5.sort.bam	CV-H3K9ac_F6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Nudt16l1	4833	4692	4789	4343	1743	11950	14601	12751	13300
Nudt17	3301	2341	1896	1999	1500	4400	3600	3201	5600
Nudt18	5131	7079	5547	4972	1989	15150	17650	14950	25050
Nudt19	8530	9625	10226	10586	2839	27201	33648	27399	33101
Nudt2	4198	4887	3645	3641	1892	11400	13799	10750	15852
Nudt21	4040	5040	4437	4393	2142	16700	19500	19798	27003
Nudt22	4140	4831	4486	3739	1699	12899	12451	15002	17950
Nudt3	5185	8730	9891	9629	2491	25104	25152	22352	29051
Nudt4	6884	9831	9364	10075	2347	43899	40699	38102	50201
Nudt5	4438	6385	4481	5483	1695	25701	25252	22899	33404
Nudt6	4848	7131	8081	6471	1826	23841	28454	21000	36294
Nudt7	4766	4240	4041	4685	1544	9802	9256	12150	15450
Nudt8	4287	5736	6387	5492	2530	18250	16500	17096	24401
Nudt9	4340	6884	6740	6680	2429	21450	27600	25050	32250
Nuf2	2841	3595	2744	2646	1041	9751	9450	10900	14650
Nufip1	5824	7340	8566	7478	2196	25550	28798	25200	34599
Nufip2	8537	13981	16172	14066	4197	51953	56096	50206	61451
Numa1	4430	6631	6994	5884	3029	22700	23350	23749	35150
Numb	2843	2292	1897	1746	700	4800	4750	5350	6600
Numbl	3195	3096	2143	2383	1190	3450	3150	2950	3550
Nup107	4478	5436	3843	3443	1998	12850	15100	14500	20750
Nup133	4744	6426	5791	6735	2285	21650	29291	23100	29006
Nup153	6144	8325	12115	11174	2891	32498	39554	31598	43554
Nup155	4131	4893	4286	3091	1488	14500	18300	13451	18200
Nup160	2340	3191	2097	2334	1295	7450	7350	8000	10350
Nup188	4812	6689	6293	6489	3088	19450	19999	18300	26301
Nup205	5477	6390	5933	6241	1899	21799	25350	18999	27992
Nup210	2341	4249	3590	2845	1197	8150	7101	5750	9200
Nup210l	2690	1946	1692	750	998	2100	2650	2750	2550
Nup214	6983	6881	6725	7634	1798	20300	28850	21550	30353
Nup35	3842	3335	2394	2543	1495	8500	8800	9352	10750
Nup37	5134	4991	4288	4386	2092	16500	16401	15801	22550
Nup43	3544	2838	2092	1796	1193	6500	6904	6300	9949
Nup50	6577	6626	9278	8878	2486	26048	30053	23050	31358
Nup54	4241	6388	5198	5536	1941	18801	19950	16152	23550
Nup62	8130	9825	8626	10532	2532	27650	29299	28501	33999
Nup62-il4i1	8180	9775	8725	10482	2532	27550	29199	28551	33899
Nup62cl	1196	997	750	599	150	1950	1600	1900	1600
Nup85	4295	5182	3497	3896	1600	11850	14550	13050	21042
Nup88	3641	4780	4195	4142	1894	13950	14600	13050	19300
Nup93	3490	4491	3591	3592	1444	9000	10750	9900	13802
Nup98	5882	7544	7526	6632	1797	21850	29350	25746	38450
Nupl1	7976	9481	10618	10419	2443	35696	44301	35650	46950
Nupl2	4690	4742	4446	4395	1449	13849	15902	13051	20001
Nupr1	2897	3290	2443	2245	1447	5350	6900	6950	5800
Nus1	5394	8093	8695	8733	2897	21950	32801	26101	32649
Nusap1	4148	3895	2742	3597	1229	11051	11000	11350	15848
Nutf2	4222	5734	5540	5038	1767	16600	17752	15950	20650
Nutf2-ps1	4222	5734	5540	4938	1767	16600	17752	16000	20850
Nvl	4137	6431	4786	4534	2132	21800	21053	19701	32450
Nwd1	2489	1789	1049	1098	1147	1500	1600	1750	1450
Nxf1	5329	8737	7626	7585	2646	29352	33847	27550	38749
Nxf2	650	1299	748	499	400	800	1300	1053	900
Nxf3	1048	1295	599	350	447	650	950	900	1000
Nxf7	1497	897	745	449	647	550	851	700	350
Nxn	2945	2540	1947	2093	1196	6700	6450	5550	8999
Nxnl1	2350	2545	1845	1297	999	2450	2050	3150	3200
Nxnl2	2293	2292	1940	1798	1491	4950	4000	4250	7000
Nxph1	1779	2097	1698	799	697	1400	1850	1450	1500
Nxph2	2221	1540	747	648	799	950	1050	1300	700
Nxph3	2795	3246	2150	1947	998	4300	4750	4000	6350
Nxph4	2298	2892	1895	2195	1297	3550	2751	3350	4150
Nxt1	4240	4291	4041	3594	1143	11800	11151	11947	16450
