Gene ID	merged_CV-H3K9ac_1.sort.bam	merged_CV-H3K9ac_2.sort.bam	merged_CV-H3K9ac_3.sort.bam	merged_CV-H3K9ac_4.sort.bam	merged_CV-H3K9ac_5.sort.bam	merged_CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Crip3	901.32264778602	912.5218390553456	788.5712170345329	842.5446859314848	1600.4867683858058	942.0	1093.4135767490156	944.319194037189	1003.6825069716244	762.5023731921568
Cript	1606.2495500873656	2650.780223381752	3714.752598902944	4098.038306127693	4799.679017713471	1893.0	9969.50532688393	8233.512410061387	8941.9780064834	13366.218071250749
Crisp1	777.6258799116946	464.55657260999413	471.81962415186985	293.2290090248787	578.0277755605944	599.0	447.50896729154795	699.2367227228353	567.0522638257765	403.677726984083
Crisp2	613.0585425350337	574.314444160707	551.735230710403	551.2705369667719	798.01677488797	448.0	671.263450937322	716.7176407909062	741.529883464477	627.9431308641291
Crisp3	703.1184700224811	425.4181067857089	577.1388672323209	549.3156769066061	487.1821159193299	648.0	447.50896729154795	541.9084601101973	458.0037515515888	358.8246462080738
Crisp4	756.2863790210946	679.3927165367771	684.3104588091618	519.9927760041182	177.23810067266297	850.0	447.50896729154795	751.679476927048	392.57464418707605	269.11848465605533
Crispld1	686.4808930569286	614.3037461985637	538.7687912356741	649.6651599951201	1022.4589928252115	650.0	571.8170137614225	664.2748865866936	239.90672700321315	403.677726984083
Crispld2	937.1296069075353	825.3111271642753	683.5165951678518	1267.4009390075312	1198.8064497759012	1348.0	919.8795438770708	646.7939685186227	741.529883464477	650.3696712521338
Crk	2276.4545526345146	4372.021883436731	6859.7757245591265	6834.842390359894	8128.014606727247	3144.0	14792.657529915057	12901.616770959035	13129.877071861307	19756.88502021654
Crkl	1661.9492642763892	3097.4692355067464	4548.309422278373	3802.2028170225935	6793.830311211423	2339.0	12281.634991223595	8792.552169878292	11580.952003518743	16169.535619751325
Crlf1	1010.1902709736572	891.2509337160601	1027.2595518550527	1041.9404120684023	1642.3470233185453	1148.0	1244.0749290705035	943.9695756758277	894.1978006483399	1233.4597213402537
Crlf2	1780.5824217698942	2308.3186474192566	3634.3077499168708	2960.9613711312195	5468.55245291533	1431.0	6141.314727797677	4492.595943494217	4426.061016184734	6771.918135561873
Crlf3	1639.1630175626976	2778.405655417465	3802.6068418745767	3671.227192991481	3864.5031096416315	1396.0	9820.335671120081	7114.7336537048495	8287.686932838273	11145.990572838293
Crls1	2180.969328310474	2974.097984538891	4600.704422604828	4816.123568228619	6173.942280718089	1698.0	9769.617988160371	8075.484910726025	8637.078366164771	12581.289157670588
Crmp1	831.1554753660811	1041.4235254114153	1012.7053850977038	1072.5665530110007	1024.240280269158	945.0	696.1250602312969	559.7389965396296	588.8619662806141	717.6492924161475
Crnkl1	1259.7539254569454	1928.4202780596186	2033.349406608507	2326.283471597371	3638.279604260443	1443.0	5321.378853282385	4580.000533834572	5016.667758661735	7715.178424281346
Crnn	686.1192066011557	613.4529099849923	723.4743984471185	939.6360689197223	754.3752325112841	600.0	522.0937951734726	664.2748865866936	654.2910736451267	515.8104289241061
Crocc	1514.7428767768265	2017.3326623778316	2932.7969122126606	2533.4986379749516	4174.447124888298	1393.0	7010.973820900918	4754.809714515281	5866.809960351304	8656.64458976978
Crot	1784.199286327623	2421.479863824255	3487.4429762745335	3058.052754119457	3955.348769282896	2191.0	9671.166015356232	6380.535094845873	7677.451458151918	10430.583934460945
Crp	866.9624344875963	487.1037322696367	800.4791716541819	647.7102999349543	840.7676735426826	1146.0	795.5714974071964	681.7558046547645	588.8619662806141	672.7962116401384
Crtac1	682.8640284991998	1189.469026572842	918.235611781822	1042.5920320884575	1113.304652466476	798.0	944.7411531710458	750.9802402043251	763.3395859193146	762.5023731921568
Crtam	607.2715592426675	784.4709889128472	1063.7772793553095	518.6895359640076	712.5149775785446	896.0	621.5402323493722	716.7176407909062	654.2910736451267	560.6635097001154
Crtap	1136.7805304941658	1358.7854330735543	1311.9919778715484	1492.8614659466602	2575.7416439464387	1648.0	3181.788757442906	2255.388049142505	2050.1120307547308	3162.14219470865
Crtc1	1191.3951853158708	1611.4837885042652	1595.4012978191943	2082.577584096694	3066.486334753661	1597.0	3332.450109764394	1800.5345610113009	2573.544889670832	4283.469214108881
Crtc2	1803.006982027813	2204.5166293635434	3034.6760795141017	2470.291496029589	4270.6366468614015	1745.0	8726.424862185186	5663.817454054966	7175.392107641557	10809.592467018223
Crtc3	1716.5639190980942	2122.4109347539015	3711.0479019101645	4392.570555192683	5062.418915695559	1797.0	8500.184217610014	5908.200688646597	6935.4853806383435	10271.355497706112
Crx	860.8137647394573	743.6308506614191	957.9287938473185	973.5203099625973	1020.6777053812651	746.0	571.8170137614225	524.4275420421264	545.242561370939	560.6635097001154
Crxos1	698.0548596416608	701.0890399828482	733.2653833566077	1172.9160360995147	665.310860313966	749.0	795.5714974071964	734.1985588589771	676.1007760999644	448.5308077600922
Cry1	2871.0670859251313	3824.083361896737	6274.698220913706	7031.6316364165905	11388.661272871062	3594.0	15762.757524565957	15330.415527336803	16380.831319779394	24243.090159432984
Cry2	1222.8619069681115	1717.8383152006925	2313.8478932046833	3508.3221879776597	4136.149444843451	1696.0	6688.270132265125	6432.977849050085	7808.7458669300395	9060.322316753864
Cryaa	971.1281337501861	1168.1981212335565	934.6421270355605	1137.076934996474	1021.5683491032383	1199.0	994.4643717589955	681.7558046547645	981.4366104676902	897.0616155201844
Cryab	974.383311852142	1035.0422538096298	1088.9162946634574	1527.3973270095903	1468.671497533775	895.0	1292.8036832866942	1031.374166016182	719.7201810096394	1278.312802116263
Cryba1	900.9609613302471	827.4382176982039	763.696822940155	944.8490290801647	1067.8818226458438	800.0	1044.1875903469452	611.832132382481	1221.3433374709034	784.9289135801614
Cryba2	901.32264778602	1209.889095698556	1207.4665984324074	1040.6371720282916	1555.9545822871469	997.0	895.0179345830959	978.9314118119695	1112.2948251967155	1592.2843675483275
Cryba4	912.8966143707522	1039.296434877487	1025.9364457862027	1132.515594856087	1111.5233650225296	1149.0	944.7411531710458	576.8702962463392	1025.0560153773654	807.355453968166
Crybb1	1134.6104117595285	1097.1532974003433	908.4446268723327	910.3131680172345	933.3946206278935	900.0	1193.3572461107947	559.3893781782683	1090.485122741878	583.0900500881199
Crybb2	861.537137651003	1016.7492752178442	1092.356370442467	1238.0780381050433	1197.025162331955	843.0	720.9866695252717	594.3512143144101	785.1492883741521	381.2511865960784
Crybb3	955.2139296961793	1275.4034841435553	885.1579600605747	1628.3984301181597	1551.5013636772808	1148.0	1342.526901874644	874.0459034035441	784.2769002759586	1637.1374483243367
Crybg3	627.8876872217218	763.2000835735618	628.7400039174665	584.5031579895915	711.6243338565714	997.0	646.4018416433471	559.3893781782683	545.242561370939	448.5308077600922
Cryga	649.2271881123218	785.7472432332044	891.5088691910541	845.1511660117059	398.1177437220118	995.0	796.5659617789554	734.1985588589771	741.529883464477	762.5023731921568
Crygb	842.7294419508132	806.1673123589184	671.3440193344329	585.8063980297021	712.5149775785446	847.0	696.1250602312969	752.0290952884094	916.0075031031776	740.0758328041522
Crygc	810.9010338427997	765.3271741074904	895.2135661838339	780.6407840262326	845.2208921525486	599.0	870.156325289121	804.1222311312606	763.3395859193146	583.0900500881199
Crygd	716.8625553418506	804.8910580385613	881.188641854025	681.5945409778291	1022.4589928252115	697.0	770.7098881132215	734.1985588589771	654.2910736451267	874.6350751321798
Cryge	974.383311852142	846.5820325035608	829.5875051688795	972.8686899425419	662.6389291480465	995.0	1093.910808934895	839.0840672674024	1025.0560153773654	650.3696712521338
Crygf	524.4453608706777	764.9017560007046	658.9068222872439	877.7321670144702	841.6583172646558	550.0	522.0937951734726	576.8702962463392	501.6231564612639	381.2511865960784
Crygn	813.4328390332099	1020.5780381789157	816.6210656941505	1038.6823119681258	1065.2098914799242	945.0	1118.77241822887	752.0290952884094	937.8172055580151	941.4661654884336
Crygs	793.5400839657015	1019.3017838585586	632.1800796964762	747.408163003413	534.3862331839084	799.0	1118.77241822887	874.0459034035441	850.5783957386648	808.2525155836862
Cryl1	1623.6104999644638	2163.6764911121154	3035.469943155412	3442.508565952076	4135.258801121478	1868.0	8775.153616401376	5541.45102757847	7371.679429735095	10562.451991942413
Crym	902.0460206975657	1272.4255573960554	1141.046673776143	1528.7005670497008	1376.9351941705374	1644.0	1690.5894319902923	1031.374166016182	1853.8247086611925	2041.7122369239398
Cryz	1082.1658756724605	1146.9272158942713	1730.3581168418827	1722.2317130061208	2353.9713571751167	947.0	3905.758820083455	3410.1774967192678	3163.2792440496396	5607.083627808913
