GeneName	GF-H3K9ac_1	GF-H3K9ac_4	GF-H3K9ac_3	GF-H3K9ac_2	merged_CV-H3K9ac_6	merged_CV-H3K9ac_5	merged_CV-H3K9ac_4	merged_CV-H3K9ac_3	merged_CV-H3K9ac_2	merged_CV-H3K9ac_1
Gm382	6.961250602312968	7.176492924161476	15.702985767483042	17.480918068070885	17.0	12.46901210762453	13.684020421161005	15.083409184888717	13.613379417142685	16.275890509779654
Gm3833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3852	8.452947159951462	9.867677770722029	13.958209571096038	16.08244462262521	20.0	13.359655829597711	13.032400401105718	18.523484963898426	15.74046995107123	16.275890509779654
Gm3893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3985	31.822859896287856	25.117725234565164	41.43843466419136	45.80000533834571	42.0	46.3134735426054	54.73608168464402	46.308712409746065	59.983953056784955	65.82693495066438
Gm4013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4027	24.36437710809539	18.838293925923875	17.8839560129668	22.37557512713073	20.0	16.922230717490436	31.277760962653726	28.843712300927546	35.309702863213836	22.062873802145756
Gm4070	171.54510412842671	207.6697639929227	203.7026209281828	188.0946784124427	185.0	172.78488206279707	209.1700264377468	187.88106177668402	179.95185917035488	194.5873132058101
Gm41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm410	56.684469190262746	65.93402874073357	60.194778775351665	48.94657059059847	60.0	57.89184192825675	53.43284164453345	65.62606101495442	61.685625483927794	62.21007039293557
Gm4133	28.342234595131373	25.117725234565164	23.990672700321316	28.66870563163625	42.0	32.06317399103451	32.581001002764296	37.04696992779685	33.18261232928529	44.84912051583727
Gm4141	25.358841479854384	14.801516656083043	28.78880724038558	31.815270883889006	32.0	35.62574887892723	36.490721123096016	32.81303050747721	37.011375290356675	43.76406114851863
Gm4172	39.28134268448032	31.84568735096655	48.853733498836135	58.73588470871817	57.0	48.98540470852494	65.16200200552859	75.15242471067361	64.23813412464204	67.63536722952878
Gm4175	25.856073665733884	21.529478772484428	31.405971534966085	42.65344008609296	42.0	48.09476098655176	42.355301303593585	45.77946998220611	48.072246066785105	55.69971418902371
Gm4177	17.900358691661918	17.044170694883505	20.93731435664406	28.31908727027483	34.0	19.594161883409978	35.18748108298544	36.517727500256896	28.07759504785679	23.509619625237278
Gm4179	39.28134268448032	31.84568735096655	48.853733498836135	58.73588470871817	57.0	48.98540470852494	65.16200200552859	75.15242471067361	64.23813412464204	67.63536722952878
Gm4187	28.342234595131373	25.117725234565164	23.990672700321316	28.66870563163625	42.0	32.06317399103451	32.581001002764296	37.04696992779685	33.18261232928529	44.84912051583727
Gm4201	25.358841479854384	14.801516656083043	28.78880724038558	31.815270883889006	32.0	35.62574887892723	36.490721123096016	32.81303050747721	37.011375290356675	43.76406114851863
Gm4214	25.856073665733884	21.529478772484428	31.405971534966085	42.65344008609296	42.0	48.09476098655176	42.355301303593585	45.77946998220611	48.072246066785105	55.69971418902371
Gm4216	17.900358691661918	17.044170694883505	20.93731435664406	28.31908727027483	34.0	19.594161883409978	35.18748108298544	36.517727500256896	28.07759504785679	23.509619625237278
