gene	read_counts_per_gene_CV-H3K9ac_1.txt	read_counts_per_gene_CV-H3K9ac_2.txt	read_counts_per_gene_CV-H3K9ac_3.txt	read_counts_per_gene_CV-H3K9ac_4.txt	read_counts_per_gene_CV-H3K9ac_5.txt	read_counts_per_gene_CV-H3K9ac_6.txt	read_counts_per_gene_GF-H3K9ac_1.txt	read_counts_per_gene_GF-H3K9ac_2.txt	read_counts_per_gene_GF-H3K9ac_3.txt	read_counts_per_gene_GF-H3K9ac_4.txt
8430410K20Rik	11.212280128959318	7.232107815357051	6.086287916709482	4.561340140387002	14.250299551570892	7.0	10.93910808934895	8.041222311312605	9.160075031031775	9.867677770722029
8430419L09Rik	11.212280128959318	16.591306164642646	19.05272739143838	16.290500501382148	23.1567367713027	15.0	25.358841479854384	19.928246597600808	31.405971534966085	35.43393381304729
8430422H06Rik	6.148669748138981	6.8066897085713425	7.6740151993293475	7.819440240663432	6.234506053812265	8.0	0.9944643717589955	6.642748865866936	6.979104785548019	4.485308077600923
8430423G03Rik	10.850593673186436	11.060870776428432	7.40939398555937	5.8645801804975735	4.453218609865904	9.0	6.961250602312968	6.642748865866936	6.979104785548019	11.661801001762399
8430427H17Rik	7.595415571230506	12.337125096785558	11.643333405879009	14.987260461271577	16.031586995517255	10.0	8.452947159951462	12.586261009011036	9.596269080128526	20.18388634920415
8430429K09Rik	28.573230006057617	43.818064998928016	76.4755307795235	67.76848208574974	85.50179730942536	24.0	163.58938915435476	141.24581799001274	163.5727684112817	220.6771574179654
8430431K14Rik	4.340237469274575	9.359198349285595	7.40939398555937	3.909720120331716	14.250299551570892	6.0	5.966786230553973	8.041222311312605	4.798134540064263	5.382369693121107
8430436N08Rik	9.403847850094913	5.105017281428507	6.35090913047946	5.212960160442288	8.015793497758628	8.0	2.4861609293974887	6.293130504505518	3.9257464418707606	4.485308077600923
8430437L04Rik	9.042161394322031	11.060870776428432	7.6740151993293475	5.8645801804975735	10.68772466367817	9.0	11.933572461107946	8.390840672674024	10.90485122741878	7.625023731921568
9030025P20Rik	14.82914468668813	20.845487232499735	36.782348714026874	30.62614094259844	52.54797959641766	14.0	105.91045559233302	97.19390445847411	93.34552650670476	133.66218071250748
9030204H09Rik	9.042161394322031	10.635452669642723	6.6155303442494375	9.774300300829289	12.46901210762453	13.0	8.950179345830959	8.390840672674024	13.085821472902536	14.801516656083043
9030224M15Rik	11.212280128959318	13.613379417142685	11.643333405879009	13.032400401105718	8.015793497758628	16.0	12.928036832866942	11.187787563565365	12.649627423805784	17.044170694883505
9030404E10Rik	10.850593673186436	11.48628888321414	10.5848485507991	9.774300300829289	15.140943273544073	13.0	12.430804646987443	11.187787563565365	15.702985767483042	20.18388634920415
9030418K01Rik	9.403847850094913	11.91170698999985	13.76030311603883	22.155080681879724	17.812874439463616	9.0	22.872680550456895	15.033589538540959	15.702985767483042	30.500094927686273
9030425E11Rik	5.425296836593218	8.508362135714178	8.203257626869302	9.774300300829289	2.6719311659195424	7.0	9.447411531710458	6.293130504505518	6.979104785548019	4.485308077600923
9030612E09Rik	7.595415571230506	11.48628888321414	13.231060688498875	22.806700701935007	16.922230717490436	11.0	29.336698966890367	20.97710168168506	27.916419142192076	42.61042673720876
9030617O03Rik	11.212280128959318	17.442142378214065	16.406515253738604	12.380780381050434	21.37544932735634	13.0	35.30348519744434	24.473285295299235	31.842165584062837	44.85308077600922
9030619P08Rik	5.7869832923660995	7.65752592214276	8.46787884063928	9.122680280774004	10.68772466367817	6.0	5.469554044674475	5.9435121431441	5.670522638257766	9.419146962961937
9030624G23Rik	8.318788482776268	10.635452669642723	13.231060688498875	11.729160360995147	11.57836838565135	15.0	11.933572461107946	7.691603949951189	5.234328589161015	7.176492924161476
9030624J02Rik	10.488907217413555	8.933780242499887	6.880151558019415	9.774300300829289	9.797080941704989	12.0	14.419733390505435	8.041222311312605	10.46865717832203	16.14710907936332
9030625A04Rik	15.190831142461011	25.950504513928244	43.13325784450633	44.96178138381473	38.29768004484677	19.0	93.97688313122508	75.1679476927048	75.02537644464121	103.61061659258131
9130008F23Rik	12.297339496277962	11.91170698999985	12.966439474728897	10.425920320884575	16.031586995517255	4.0	25.856073665733884	16.781681345348048	27.044031043998572	24.669194426805074
9130011E15Rik	13.382398863596606	19.56923291214261	30.69606079731739	26.064800802211437	34.73510515695405	14.0	59.66786230553973	66.07787029730794	51.90709184251339	82.08113782009688
9130011J15Rik	25.318051904101686	32.757194222499585	57.422803388085114	41.7036812835383	64.12634798206902	15.0	135.74438674510287	122.01680811513476	137.40112546547664	217.53744176364475
9130014G24Rik	11.212280128959318	7.232107815357051	7.6740151993293475	6.516200200552859	4.453218609865904	8.0	12.430804646987443	8.041222311312605	12.649627423805784	6.279431308641291
9130015A21Rik	5.425296836593218	5.105017281428507	6.880151558019415	3.2581001002764296	6.234506053812265	5.0	4.972321858794977	6.293130504505518	4.798134540064263	3.1397156543206455
9130015L21Rik	7.595415571230506	8.933780242499887	6.35090913047946	7.819440240663432	6.234506053812265	8.0	6.464018416433471	6.992367227228353	9.160075031031775	8.07355453968166
9130017N09Rik	12.659025952050843	20.42006912571403	25.40363652191784	27.36804084232201	51.657335874444485	22.0	55.19277263262425	33.563362690696096	39.257464418707606	68.17668277953402
9130019O22Rik	5.063610380820337	15.74046995107123	13.76030311603883	18.896980581603295	8.015793497758628	13.0	18.894823063420915	17.480918068070885	21.80970245483756	32.29421815872664
9130019P16Rik	15.190831142461011	14.464215630714103	12.172575833418964	14.987260461271577	26.719311659195423	13.0	41.27027142799831	27.969468908913413	40.12985251690111	49.33838885361015
9130023H24Rik	28.934916461830497	49.34850038714223	73.30007621428376	52.781221624478164	96.18952197310352	26.0	147.67795920621083	166.0687216466734	112.5380646669618	200.49327106876123
9130024F11Rik	19.892755067508467	28.503013154642495	41.81015177565644	43.006921323648875	53.438623318390846	21.0	116.35233149580247	74.46871096998196	104.68657178322029	130.52246505818684
