tracking_id	q27_FPKM	q28_FPKM	q29_FPKM	q30_FPKM	q31_FPKM	q32_FPKM	q27_FPKMr	q28_FPKMr	q29_FPKMr	q30_FPKMr	q31_FPKMr	q32_FPKMr
Ptpla	18.7432	19.1368	19.2107	18.0075	17.0658	17.8049	18.7432	19.1368	19.2107	18.0075	17.0658	17.8049
Ptplad1	10.5595	11.7247	10.6483	8.3606	8.28867	8.46503	10.5595	11.7247	10.6483	8.3606	8.28867	8.46503
Ptplb	6.76633	7.19821	8.04699	7.52981	7.95886	7.06818	6.76633	7.19821	8.04699	7.52981	7.95886	7.06818
Ptpmt1	40.2672	44.8428	36.9436	42.412	39.8563	40.9205	40.2672	44.8428	36.9436	42.412	39.8563	40.9205
Ptpn1	6.56519	7.44428	7.84256	7.26449	6.41574	9.37201	6.56519	7.44428	7.84256	7.26449	6.41574	9.37201
Ptpn11	10.5186	9.90135	9.40791	9.66446	9.5205	10.509	10.5186	9.90135	9.40791	9.66446	9.5205	10.509
Ptpn12	11.1227	9.92822	11.727	12.731	13.6225	12.8633	11.1227	9.92822	11.727	12.731	13.6225	12.8633
Ptpn18	6.80688	5.38937	5.9583	7.29111	6.45702	7.71169	6.80688	5.38937	5.9583	7.29111	6.45702	7.71169
Ptpn2	12.9555	14.6303	12.7631	14.9739	13.2568	14.5377	12.9555	14.6303	12.7631	14.9739	13.2568	14.5377
Ptpn21	2.20478	2.32972	3.9155	3.01133	2.64078	2.99034	2.20478	2.32972	3.9155	3.01133	2.64078	2.99034
Ptpn22	6.46384	6.19212	11.8145	12.757	7.50199	8.60651	6.46384	6.19212	11.8145	12.757	7.50199	8.60651
Ptpn23	7.4227	6.73093	9.20473	8.35852	7.08532	8.71688	7.4227	6.73093	9.20473	8.35852	7.08532	8.71688
Ptpn3	8.29693	8.4452	9.20482	8.61222	9.42998	8.87788	8.29693	8.4452	9.20482	8.61222	9.42998	8.87788
Ptpn6	15.4697	14.5441	17.0206	17.5854	17.849	16.3273	15.4697	14.5441	17.0206	17.5854	17.849	16.3273
Ptpn7	1.30069	1.08016	1.4096	1.42015	1.03425	1.05848	1.30069	1.08016	1.4096	1.42015	1.03425	1.05848
Ptpn9	6.28134	7.54706	7.24445	5.59188	5.43149	5.80547	6.28134	7.54706	7.24445	5.59188	5.43149	5.80547
