CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP	ZK1_newchange_rep1	ZK2_rep1	ZK3_rep1	ZK4_rep1	ZK1_newchange_rep2	ZK2_rep2	ZK3_rep2	ZK4_rep2
Gm17806	0.740717708056912	1.0	22.5046717631356	5.55533109404651	3.89486024864619	3.71409468062281	0.953588689584893	1.4039750572035	9.66090132498179	0.0	4.11963906137331	1.4039750572035	9.66090132498179	0.0	4.11963906137331
Tpd52	0.0007590427060729	0.0123755047327775	24.2870791419778	11.1975214244356	111.484391456802	23.1487398476057	0.207641083609228	84.4636232048701	122.934251521017	129.301365000177	110.24626046991	84.4636232048701	122.934251521017	129.301365000177	110.24626046991
Gm15466	0.0012801163070017	0.0160589243388413	23.9926335174954	9.87527077916184	3.02873961166567	1.01372516490053	0.334701986594029	2.46726468688844	3.63715720620821	3.87989116040015	2.12929875882264	2.46726468688844	3.63715720620821	3.87989116040015	2.12929875882264
Gm7103	0.0022595326139409	0.0211285376661312	24.5146005509642	11.6622200458923	3.07539004962219	0.723447014362003	0.235237482949806	2.1670591913141	3.29489739534915	3.63811582314016	3.25162452557329	2.1670591913141	3.29489739534915	3.63811582314016	3.25162452557329
Gm16685	0.180128144838569	0.666600708160826	22.9794094794095	17.9142042805274	1.19178443158053	0.481944546497267	0.40438902684617	1.39339233064166	0.532671136706841	1.47039426304947	1.43100527697201	1.39339233064166	0.532671136706841	1.47039426304947	1.43100527697201
Il7	0.0249867212410273	0.139161008947466	23.9052823315118	20.8456373997195	4.10172906694184	0.7462095151831	0.181925598449987	4.72697674552052	3.24795854666093	3.91231364920572	4.53275049928261	4.72697674552052	3.24795854666093	3.91231364920572	4.53275049928261
Hnf4g	0.242815628786872	0.74170669759374	23.0371240294905	5.40902979637632	178.132369532726	21.4438899146881	0.120381769865518	175.696553021721	205.8876380129	158.44826536957	170.803809768875	175.696553021721	205.8876380129	158.44826536957	170.803809768875
Uckl1	0.532925930008585	1.0	26.380487804878	10.7966981101305	18.3017839708011	3.69310030451499	0.201789088452088	12.1590980145882	23.2935862186932	19.2900008175203	19.6108480089353	12.1590980145882	23.2935862186932	19.2900008175203	19.6108480089353
Lime1	0.804536316470378	1.0	27.7183494134167	11.4957411533845	14.0700741094861	3.47232124875457	0.246787701453081	7.13382731975682	17.9645312199834	14.4586517447548	17.8591295195063	7.13382731975682	17.9645312199834	14.4586517447548	17.8591295195063
Zgpat	0.787809050883454	1.0	25.9701330037665	10.6393013683498	18.6267713462633	3.29996716219375	0.177162595752578	12.3237810576751	24.9912071975944	18.0855566449344	20.0247927373922	12.3237810576751	24.9912071975944	18.0855566449344	20.0247927373922
Col20a1	0.478627815075658	1.0	26.6626746506986	12.0889669716854	3.26521464234857	0.922804608401076	0.282616829053949	1.7488809447978	3.77741275658364	3.69105592364358	4.05403143835238	1.7488809447978	3.77741275658364	3.69105592364358	4.05403143835238
Slco4a1	0.0004315326078073	0.0090268337269892	23.9052823315118	7.88209179133301	4.5809927731019	1.40383899452427	0.306448637676784	3.92908000730097	6.19154573829282	4.74756828037065	3.43228987238809	3.92908000730097	6.19154573829282	4.74756828037065	3.43228987238809
Gata5os	0.0022821717637847	0.0212415909803375	24.0086977745235	10.3732177016478	5.36103864825998	2.24148886577436	0.418107201391258	3.17274935453854	7.07519326276643	6.83566839523022	4.36392040023305	3.17274935453854	7.07519326276643	6.83566839523022	4.36392040023305
Adrm1	0.174423769368713	0.653817567876095	26.7676767676768	13.3262066653602	28.3886542823632	3.4410589212467	0.121212470553227	22.586411889469	29.5231766056369	29.8137099617219	31.998554066979	22.586411889469	29.5231766056369	29.8137099617219	31.998554066979
Gm29886	0.0008205217796345	0.0129236014506364	24.3872497733138	11.4805529098118	2.36351871009937	1.10412805293924	0.467154352627408	1.0727965745035	2.72013468349901	3.28072649705898	2.44120735535781	1.0727965745035	2.72013468349901	3.28072649705898	2.44120735535781
Osbpl2	0.91186677725308	1.0	28.3822534249915	11.5557651396473	18.4719008444377	1.87099425376121	0.101288669180173	14.3473287313439	20.9140701048395	18.1988187508403	21.0494536796607	14.3473287313439	20.9140701048395	18.1988187508403	21.0494536796607
