Gene	GF-H3K9ac_1	CV-H3K9ac_3	CV-H3K9ac_2	CV-H3K9ac_1	GF-H3K9ac_2	GF-H3K9ac_3	GF-H3K9ac_4	CV-H3K9ac_6	CV-H3K9ac_5	CV-H3K9ac_4
Slc7a11	54.0	41.0	10.0	11.0	51.0	62	27.0	3.0	9.0	9.0
Slc7a12	17.0	21.0	11.0	9.0	29.0	39	14.0	3.0	2.0	2.0
Slc7a13	11.0	14.0	4.0	8.0	21.0	13	8.0	2.0	2.0	2.0
Slc7a14	36.0	29.0	19.0	21.0	32.0	33	25.0	7.0	3.0	5.0
Slc7a15	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc7a4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc7a7	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc7a8	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc8a1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc8a3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc8b1	105.0	21.0	8.0	8.0	55.0	41	48.0	3.0	10.0	8.0
Slc9a1	651.0	426.0	79.0	31.0	702.0	688	786.0	14.0	51.0	27.0
Slc9a2	36.0	26.0	4.0	12.0	28.0	32	43.0	3.0	2.0	2.0
Slc9a3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc9a3r1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc9a3r2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc9a4	29.0	22.0	14.0	15.0	47.0	78	41.0	4.0	5.0	7.0
Slc9a8	277.0	192.0	57.0	27.0	329.0	250	335.0	24.0	18.0	29.0
Slc9b1	8.0	17.0	3.0	6.0	18.0	15	27.0	3.0	2.0	2.0
Slc9b2	44.0	33.0	3.0	17.0	42.0	46	8.0	11.0	17.0	3.0
Slc9c1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slco4a1	73.0	67.0	16.0	20.0	62.0	64	37.0	5.0	11.0	2.0
Slco4c1	9.0	45.0	9.0	4.0	47.0	33	12.0	0.0	3.0	6.0
Slco5a1	28.0	51.0	15.0	33.0	48.0	39	11.0	14.0	4.0	3.0
Slco6b1	12.0	17.0	5.0	4.0	18.0	18	8.0	1.0	1.0	3.0
Slco6c1	26.0	35.0	12.0	24.0	32.0	13	24.0	5.0	5.0	2.0
Slco6d1	33.0	52.0	9.0	16.0	71.0	25	21.0	4.0	7.0	2.0
Slf1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slf2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slfn1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slfn10-ps	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slfn14	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slfn2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slfn3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slfn4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slfn5	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slfn5os	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slfn8	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slfn9	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slfnl1	96.0	51.0	11.0	3.0	78.0	65	80.0	2.0	11.0	2.0
Slirp	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slit1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slit2	23.0	42.0	6.0	6.0	42.0	35	37.0	5.0	5.0	2.0
Slit3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slitrk1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slitrk3	1598.0	1460.0	44.0	20.0	2533.0	1430	1904.0	7.0	43.0	55.0
Slitrk5	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slitrk6	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slk	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slmap	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slpi	44.0	47.0	19.0	15.0	66.0	56	41.0	7.0	7.0	5.0
Slu7	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slurp1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slurp2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slx4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slx4ip	47.0	90.0	16.0	18.0	63.0	111	33.0	12.0	6.0	5.0
Smad2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Smad4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Smad5	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Smad7	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Smad9	50.0	33.0	17.0	20.0	69.0	38	32.0	3.0	13.0	7.0
Smagp	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Smap1	35.0	68.0	11.0	27.0	60.0	60	38.0	9.0	9.0	9.0
Smap2	64.0	56.0	23.0	18.0	26.0	43	40.0	9.0	2.0	3.0
Smarca2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Smarca5-ps	17.0	19.0	5.0	11.0	20.0	27	41.0	4.0	2.0	2.0
Smarcal1	58.0	112.0	33.0	16.0	103.0	94	125.0	3.0	4.0	9.0
Smarcb1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Smarcc2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Smarcd1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Smarcd2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
